Region Type,Silhouette Score,Davies-Bouldin Index,Inter-cluster distance,Intra-cluster distance
ARID,0.539279900826542,0.6028209349837316,16.936272864111444,9.892669429861023
HUMID,0.3635835480303004,0.7913823748837794,15.214397633047561,10.364782927724018
HYPER ARID,0.3987648151998779,0.8789557204559316,9.38006310675308,7.116461724465173
SEMI ARID,0.49586156657562214,0.6998313326784004,14.997482831010833,9.616788940812746
